_id,user_id,year,month,day,isCombined,title,cost,category,memo,vendor,time,paymentMethod,_class,group[0]._id,group[1]._id,group[2]._id,group[0].user_id,group[1].user_id,group[2].user_id,group[0].year,group[1].year,group[2].year,group[0].month,group[1].month,group[2].month,group[0].day,group[1].day,group[2].day,group[0].isCombined,group[1].isCombined,group[2].isCombined,group[0].title,group[1].title,group[2].title,group[0].cost,group[1].cost,group[2].cost,group[0].category,group[1].category,group[2].category,group[0].memo,group[1].memo,group[2].memo,group[0].vendor,group[1].vendor,group[2].vendor,group[0].time,group[1].time,group[2].time,group[0].paymentMethod,group[1].paymentMethod,group[2].paymentMethod
67ecbfb49aa95271b39ee890,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,3,31,false,수도2503일반,-16550,home,,서울시상수도사업본부,2025-03-30T15:35:26.000Z,카카오뱅크,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ecc3f09aa95271b39ee891,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,3,30,false,,-16000,health,,수정프라자약국,2025-03-30T15:06:26.000Z,프렌즈체크카드,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ecc83f9aa95271b39ee892,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,3,27,false,이*리,1300,transfer,,카카오페이머니,2025-03-24T15:13:26.000Z,카카오뱅크,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ecc8b19aa95271b39ee893,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,3,12,false,,-6870,cafe,,GS25지에스사랑점,2025-03-12T15:13:26.000Z,네이버페이,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ecc8f39aa95271b39ee894,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,3,18,false,,-4000,cafe,,투썸플레이스,2025-03-10T15:13:26.000Z,현대카드,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ecc92f9aa95271b39ee895,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,3,15,false,소금집 모르타델라 슬라이스 햄 수제햄...,-7900,food,,소금집,2025-03-09T15:13:26.000Z,현대카드,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ecc9789aa95271b39ee896,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,3,15,false,,1000000,transfer,,삼성SSAFY,2025-03-14T15:13:26.000Z,카카오뱅크,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ecccfc0bc76d689620b64c,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,4,1,false,,-6020,living,,GS25지에스사랑점,2025-03-31T15:13:26.000Z,현대카드,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67eccd390bc76d689620b64d,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,4,1,false,정*희,-4250,transfer,넷플 정기결제,우리은행,2025-03-31T15:15:26.000Z,카카오뱅크,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67eccd980bc76d689620b64e,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,4,2,false,후불교통비,-12250,transfer,,케이뱅크,2025-04-01T15:15:26.000Z,케이뱅크 교통 전용(MY K-패스),com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ee11077be4585f3d4c7cca,1HmYQUhVnjbyQWDIANJHIDkynhx1,2025,4,2,false,윤*진,4500,transfer,,국민은행,2025-04-01T15:16:26.000Z,카카오뱅크,com.example.mugbackend.transaction.domain.Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
